the_geom,ID,CATEGORY,VENDORNAME,WEBSITE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,TELEPHONE,CONTACT,CONTACTEMA,TYPED,CAMERAICON,BOROUGH,BCODE,HOUSENUM,STREETNAME
POINT (-73.9338803091207 40.710806491510155),489,Location & Rental Space,3rd Ward,http://www.3rdwardbrooklyn.org,195 Morgan Avenue,,Brooklyn,NY,11237,(718) 497-7010,Mary Ellen DeVaux,mdevaux@3rdwardbrooklyn.org,,yes,Brooklyn,3,195,MORGAN AVENUE
POINT (-73.9878567152518 40.68217664138911),490,Location & Rental Space,Bond Street Studio,http://www.bondstreetstudio.com,235 Bond Street,,Brooklyn,NY,11217,(718) 858-2238,Robert DiScalfani,info@bondstreetstudio.com,,yes,Brooklyn,3,235,BOND STREET
POINT (-73.96034324376595 40.72460177570549),491,Location & Rental Space,"Context Studios, Inc.",http://www.contextnyc.com,1 North 12th Street,Box B7,Brooklyn,NY,11211,(718) 384-8300,Ed Montgomery,ed@contextnyc.com,,yes,Brooklyn,3,1,NORTH 12 STREET
POINT (-73.9872920292839 40.681460476306555),492,Location & Rental Space,"Eastern Effects, Inc.",http://www.easterneffects.com,210 Douglass Street,,Brooklyn,NY,11217,(718) 855-1197,Allan Ross,easterneffectsar@aol.com,,yes,Brooklyn,3,210,DOUGLASS STREET
POINT (-73.95179114039061 40.701954226379954),493,Location & Rental Space,Factory Studios,http://www.factorybrooklyn.com,79 Lorimer Street,1st Floor,Brooklyn,NY,11206,(718) 690-3980,Carrie White,carrie@factorybrooklyn.com,,yes,Brooklyn,3,79,LORIMER STREET
POINT (-73.99100854041949 40.7033980891526),494,Location & Rental Space,Galapagos Art Space,http://www.galapagosartspace.com,16 Main Street,,Brooklyn,NY,11201,(718) 222-8500,Hilary Joyce,hilary@galapagosartspace.com,,yes,Brooklyn,3,16,MAIN STREET
POINT (-73.96178587314981 40.71915391702916),496,Location & Rental Space,Music Hall of Williamsburg,http://www.musichallofwilliamsburg.com,66 North Sixth Street,,Brooklyn,NY,11211,(718) 486-5400,Margaret Hannigan,margaret@bowerypresents.com,,yes,Brooklyn,3,66,NORTH SIXTH STREET
POINT (-73.95677914488793 40.612739857200914),497,Location & Rental Space,Remarkable Movers,http://www.ebaymover.com,1531 East 17th Street,,Brooklyn,NY,11230,(718) 627-9292,Philippe Naim,Remarkable770@yahoo.com,,,Brooklyn,3,1531,EAST 17 STREET
POINT (-73.92910740375635 40.70731125200563),498,Location & Rental Space,The Nut Roaster Studio,http://www.brooklynfireproof.com,120 Ingraham Street,,Brooklyn,NY,11237,(718) 456-7570,Kevin Hayden,Kevin@brooklynfireproof.com,,yes,Brooklyn,3,120,INGRAHAM STREET
POINT (-73.97158434606858 40.78559334722676),499,Location & Rental Space,1887 Townhouse,http://www.1887townhouse.com,59 West 85th Street,,New York,NY,10024,(212) 877-5400,Dan Starer,dstarer@1887townhouse.com,,yes,Manhattan,1,59,WEST 85 STREET
POINT (-74.00379226704221 40.733161201232036),500,Location & Rental Space,49 Grove LLC,http://www.49grovenyc.com,49 Grove Street,,New York,NY,10014,(212) 727-1100,Eric Biberman,ebiberman@yahoo.com,,yes,Manhattan,1,49,GROVE STREET
POINT (-74.00131679408967 40.72222889291449),501,Location & Rental Space,"Ardea Arts, Inc.",,463 Broome Street,1st Floor,New York,NY,10013,(212) 431-7039,,,,yes,Manhattan,1,463,BROOME STREET
POINT (-73.99264336343849 40.72791854673685),502,Location & Rental Space,Astor Center,http://Rentals.AstorCenterNYC.com,399 Lafayette Street,(corner of East 4th Street),New York,NY,10003,(212) 763-0800,Kathleen Laux,klaux@AstorCenterNYC.com,,yes,Manhattan,1,399,LAFAYETTE STREET
POINT (-73.99364401181222 40.752725669478075),503,Location & Rental Space,Atlantic Video,http://www.atlanticvideo.com,305 West 34th Street,,New York,NY,10001,(646) 274-1030,Lauri Tamney,Ltamney@atlanticvideo.com,,yes,Manhattan,1,305,WEST 34 STREET
POINT (-73.98916905765806 40.771318224400716),504,Location & Rental Space,Manhattan neighborhood Network,http://www.mnn.org,537 West 59th Street,,New York,NY,10019,(212) 757-2670x307,Rahim Brown,rahimlevel@gmail.com,,yes,Manhattan,1,537,WEST 59 STREET
POINT (-74.006064405785 40.721545295601544),505,Location & Rental Space,HAAS/crea Corp. (The Shooting Kitchen),http://www.shootingkitchen.com,13 Laight Street,#12,New York,NY,10013,(917) 262-0816,Alex Bonamarte,alex@shootingkitchen.com,,yes,Manhattan,1,13,LAIGHT STREET
POINT (-73.98835232346875 40.71398030778921),506,Location & Rental Space,The Educational Alliance,http://www.edalliance.org,197 East Broadway,,New York,NY,11101,(646) 395-4245,Dana Weissman,dana_weissman@edalliance.org,,yes,Manhattan,1,197,EAST BROADWAY
POINT (-73.9933404475982 40.72043637978496),507,Location & Rental Space,Bowery Ballroom,http://www.boweryballroom.com,6 Delancy Street,,New York,NY,10002,(212) 533-2111,Margaret Hannigan,margaret@bowerypresents.com,,yes,Manhattan,1,6,DELANCY STREET
POINT (-73.98120600545329 40.75391278752685),508,Location & Rental Space,Bryant Park Restoration Corporation,http://www.bryantpark.org,500 Fifth Avenue,Suite 1120,New York,NY,10110,(917) 438-5119,"Maureen Andary, Events Associate",events@urbanmgt.com,,yes,Manhattan,1,500,FIFTH AVENUE
POINT (-74.00980945426556 40.748372258180346),509,Location & Rental Space,Chelsea Piers Event Sales,http://www.chelseapiers.com/eventsales,"Pier 62, Suite 300",,New York,NY,10011,(212) 336-6777,Deb Navins,levyde@chelseapiers.com,,yes,Manhattan,1,,PIER 62
POINT (-73.98361598081479 40.758321215717814),510,Location & Rental Space,Church of St. Mary the Virgin,http://www.stmvirgin.org,145 West 46th Street,,New York,NY,10036,(212) 869-5830,Sandra Schubert,sschubert@stmvnyc.org,,yes,Manhattan,1,145,WEST 46 STREET
POINT (-73.98989554727135 40.74214439612886),511,Location & Rental Space,Cipriani,http://cipriani.com/cipriani/Locs/23rd.htm,200 Fifth Avenue,,New York,NY,10010,(212) 755-0900,James Munz,,,yes,Manhattan,1,200,FIFTH AVENUE
POINT (-74.0044028305556 40.74481265142274),512,Location & Rental Space,City Stage,http://www.citystage.com,435 West 19th Street,,New York,NY,10011,(212) 627-3400,Brian Coles,brian@citystage.com,,yes,Manhattan,1,435,WEST 19 STREET
POINT (-74.01108719120057 40.705759798166405),514,Location & Rental Space,Broad Street Ballroom,http://www.broadstreetballroom.com,41 Broad Street,,New York,NY,10004,(646) 624-2524,Vanessa Badia,vanessa@broadstreetballroom.com,,yes,Manhattan,1,41,BROAD STREET
POINT (-73.98514828295383 40.75012561198527),515,Location & Rental Space,"Garys Loft, Inc.",http://www.garysloft.com,28 West 36th Street,,New York,NY,10018,(917) 837-2420,Gary Handel,Gary@garysloft.com,,yes,Manhattan,1,28,WEST 36 STREET
POINT (-74.00912026513694 40.72306020063039),516,Location & Rental Space,Greenwich Street Productions,,443 Greenwich Street,,New York,NY,10013,(212) 219-7500,Roger Paradiso/ Michael Tadross,greenwichstprod@aol.com,,yes,Manhattan,1,443,GREENWICH STREET
POINT (-74.00074694294052 40.736293025243896),518,Location & Rental Space,Jefferson Market Garden,http://www.jeffersonmarketgarden.org,70 A Greenwich Avenue,PMB 372,New York,NY,10011,(212) 255-6096,Virginia Giordano,vgpnyc@aol.com,,yes,Manhattan,1,70A,GREENWICH AVENUE
POINT (-73.99971135891869 40.72869829259642),519,Location & Rental Space,Kennys Castaways,http://www.kennyscastaways.com,157 Bleecker Street,,New York,NY,10012,(212) 979-9762 / 0104,Maria Kenny,info@kennyscastaways.net,,yes,Manhattan,1,157,BLEECKER STREET
POINT (-73.98681045143945 40.72203875558651),521,Location & Rental Space,Mercury Lounge,http://www.mercuryloungenyc.com,217 East Houston Street,,New York,NY,10002,(212) 260-4700,Margaret Hannigan,margaret@bowerypresents.com,,yes,Manhattan,1,217,EAST HOUSTON STREET
POINT (-74.00905354874187 40.73653421028866),522,Location & Rental Space,Michelson Studio/M Studio,http://www.michelsonstudio.com,163 Bank Street,,New York,NY,10014,(212) 633-1111,Eric Michelson,no email,,yes,Manhattan,1,163,BANK STREET
POINT (-73.99213501996995 40.7407136306062),959,Event Planning & Marketing,DinePrivate LLC,http://www.dineprivate.com,22 West 21st Street,Suite 402,New York,NY,10010,(212) 375-9495,Jeff Zalaznick,jeff@dineprivate.com,,,Manhattan,1,22,WEST 21 STREET
POINT (-73.9575810830072 40.78474915502964),523,Location & Rental Space,Otto Kahn and James Burden Mansion,http://www.burdenkahnmansion.org,1-7 East 91st Street,,New York,NY,10035,(212) 722-5470,Rose/Kathleen Lydil,events@burdenkahnmansion.org,,yes,Manhattan,1,1,EAST 91 STREET
POINT (-73.97548429510753 40.667978694602276),524,Location & Rental Space,PDS Equities,,562 4th Street,,New York,NY,11215,(718) 768-6726,David Sweeny,jdavidsweeny@verizon.net,,yes,Brooklyn,1,562,4 STREET
POINT (-73.99336231970283 40.754388970423484),525,Location & Rental Space,PMP Studios,http://www.pmpstudios.com,320 West 37th Street,Suite 1502,New York,NY,11018,(212) 563-2047,Karen Neasi / John Stavros,pmpstudios@yahoo.com,,yes,Manhattan,1,320,WEST 37 STREET
POINT (-74.01020539601949 40.71792466498921),526,Location & Rental Space,Pochron Studios,http://www.pochronstudios.com,20 Jay Street,Suite 1100,New York,NY,11201,(718) 237-1332,Galina Kurlat,galina@pochronstudios.com,,yes,Manhattan,1,20,JAY STREET
POINT (-73.99299911887796 40.74155176037339),527,Location & Rental Space,Porky聶s NYC,http://www.porkysnyc.com,55 West 21st Street,,New York,NY,10010,(212) 675-8007,ToniAnn Di Re,ToniAnn@porkysnyc.com,,,Manhattan,1,55,WEST 21 STREET
POINT (-74.00076483963254 40.72370283248986),528,Location & Rental Space,Renaissant Arts,http://www.soholuxuryloft.com,81 Greene Street,#5,New York,NY,10012,(212) 966-6535,Warren Sulatycky,warren@renaissantarts.org,,yes,Manhattan,1,81,GREENE STREET
POINT (-73.99200526588554 40.75369371648961),529,Location & Rental Space,Ripley - Grier Studios,http://www.ripleygrier.com,520 8th Avenue,16th Floor,New York,NY,10018,(212) 799-5433,Stas Iavorski,stas@ripleygrier.com,,yes,Manhattan,1,520,8 AVENUE
POINT (-74.0034986248807 40.706981699514984),530,Location & Rental Space,"Seaport Marketplace, LLC",http://www.southstreetseaport.com,19 Fulton Street,,New York,NY,10038,(212) 732-8257,Joan Cooney,joan.cooney@generalgrowth.com,,yes,Manhattan,1,19,FULTON STREET
POINT (-73.99132905584466 40.76339982990642),531,Location & Rental Space,Shop Studios,http://www.shopstudios.tv,442 West 49th Street,,New York,NY,10019,(212) 245-6145,Jacques Rosas,jacques@shopstudios.com,,yes,Manhattan,1,442,WEST 49 STREET
POINT (-73.98458940746438 40.761454630329666),532,Location & Rental Space,Snapple Theater and Rehearsal Studios,http://www.stcrehearsalstudios.com,1627 Broadway,The Snapple Theater Center (@50th st),New York,NY,10019,(212) 921-7928,Catherine Russell,postarvis@aol.com,,yes,Manhattan,1,1627,BROADWAY
POINT (-73.99945886579472 40.720543616889806),533,Location & Rental Space,SoHoSoleil Studio Loft Locations,http://www.sohosoleil.com,136 Grand Street,5 WF,New York,NY,10013,(212) 431-8824,Wendy Friedman,info@sohosoleil.com,,yes,Manhattan,1,136,GRAND STREET
POINT (-73.97333425752849 40.73515635758743),534,Location & Rental Space,Solar One,http://www.solar1.org,2420 FDR Dr. Service Rd E,,New York,NY,10010,(212) 505-6050,Christopher Collins,chris@solar1.org,,yes,Manhattan,1,2420,FDR DRIVE SERVICE ROAD EAST
POINT (-73.98259159937288 40.74164946811761),535,Location & Rental Space,Spanish Theatre Repertory CO. Ltd. (aka Repertorio Espanol),http://www.repertorio.org,138 East 27th Street,,New York,NY,10016,(212) 225-9950,Allison Astor Vargas,aav@repertorio.org,,,Manhattan,1,138,EAST 27 STREET
POINT (-73.98417990990643 40.76297244854267),536,Location & Rental Space,T New York City,http://www.tnewyorkcity.com,240 West 52nd Street,,New York,NY,10019,(212) 489-7656,Lisa Spudic,lisa@tnewyorkcity.com,,yes,Manhattan,1,240,WEST 52 STREET
POINT (-73.98973662378829 40.74304191494091),538,Location & Rental Space,The 40/40 Club,http://www.the4040club.com,6 West 25th Street,,New York,NY,10010,(212) 832-4040,"Laura Olivera, Sheldon Robinson",laura@the4040club.com; sheldon@the4040club.com,,yes,Manhattan,1,6,WEST 25 STREET
